
 INFO Server running on [http://127.0.0.1:8000]. 

 Press Ctrl+C to stop the server
 2026-07-26 15:51:07 /api/audit-events .. ~ 1.64ms
 2026-07-26 15:51:09 /api/audit-events .. ~ 514.75ms
 2026-07-26 15:51:09 /api/audit-events .. ~ 0.70ms
 2026-07-26 15:52:03 /api/audit-events .. ~ 4s
 2026-07-26 15:52:07 /api/audit-events .. ~ 509.34ms
 2026-07-26 15:52:08 /api/audit-events .. ~ 504.31ms
 2026-07-26 15:57:44 /api/audit-events .. ~ 1s
 2026-07-26 15:57:46 /api/audit-events .. ~ 515.94ms
 2026-07-26 15:57:48 /api/audit-events .. ~ 514.53ms
 2026-07-26 20:31:12 /api/audit-events .. ~ 3s
 2026-07-26 20:31:17 /api/audit-events .. ~ 509.27ms
 2026-07-26 20:31:19 /api/audit-events .. ~ 615.05ms
